city,year,weekofyear
sj,2010,45
sj,2010,46
sj,2010,47
sj,2010,48
sj,2010,49
sj,2010,50
sj,2010,51
sj,2011,52
sj,2011,1
sj,2011,2
sj,2011,3
sj,2011,4
sj,2011,5
sj,2011,6
sj,2011,7
sj,2011,8
sj,2011,9
sj,2011,10
sj,2011,11
sj,2011,12
sj,2011,13
sj,2011,14
sj,2011,15
sj,2011,16
sj,2011,17
sj,2011,18
sj,2011,19
sj,2011,20
sj,2011,21
sj,2011,22
sj,2011,23
sj,2011,24
sj,2011,25
sj,2011,26
sj,2011,27
sj,2011,28
sj,2011,29
sj,2011,30
sj,2011,31
sj,2011,32
sj,2011,33
sj,2011,34
sj,2011,35
sj,2011,36
sj,2011,37
sj,2011,38
sj,2011,39
sj,2011,40
sj,2011,41
sj,2011,42
sj,2011,43
sj,2011,44
sj,2011,45
sj,2011,46
sj,2011,47
sj,2011,48
sj,2011,49
sj,2011,50
sj,2011,51
sj,2012,52
sj,2012,1
sj,2012,2
sj,2012,3
sj,2012,4
sj,2012,5
sj,2012,6
sj,2012,7
sj,2012,8
sj,2012,9
sj,2012,10
sj,2012,11
sj,2012,12
sj,2012,13
sj,2012,14
sj,2012,15
sj,2012,16
sj,2012,17
sj,2012,18
sj,2012,19
sj,2012,20
sj,2012,21
sj,2012,22
sj,2012,23
sj,2012,24
sj,2012,25
sj,2012,26
sj,2012,27
sj,2012,28
sj,2012,29
sj,2012,30
sj,2012,31
sj,2012,32
sj,2012,33
sj,2012,34
sj,2012,35
sj,2012,36
sj,2012,37
sj,2012,38
sj,2012,39
sj,2012,40
sj,2012,41
sj,2012,42
sj,2012,43
sj,2012,44
sj,2012,45
sj,2012,46
sj,2012,47
sj,2012,48
sj,2012,49
sj,2012,50
sj,2012,51
sj,2013,1
sj,2013,2
sj,2013,3
sj,2013,4
sj,2013,5
sj,2013,6
sj,2013,7
sj,2013,8
sj,2013,9
sj,2013,10
sj,2013,11
sj,2013,12
sj,2013,13
sj,2013,14
sj,2013,15
sj,2013,16
sj,2013,17
iq,2010,26
iq,2010,27
iq,2010,28
iq,2010,29
iq,2010,30
iq,2010,31
iq,2010,32
iq,2010,33
iq,2010,34
iq,2010,35
iq,2010,36
iq,2010,37
iq,2010,38
iq,2010,39
iq,2010,40
iq,2010,41
iq,2010,42
iq,2010,43
iq,2010,44
iq,2010,45
iq,2010,46
iq,2010,47
iq,2010,48
iq,2010,49
iq,2010,50
iq,2010,51
iq,2011,52
iq,2011,1
iq,2011,2
iq,2011,3
iq,2011,4
iq,2011,5
iq,2011,6
iq,2011,7
iq,2011,8
iq,2011,9
iq,2011,10
iq,2011,11
iq,2011,12
iq,2011,13
iq,2011,14
iq,2011,15
iq,2011,16
iq,2011,17
iq,2011,18
iq,2011,19
iq,2011,20
iq,2011,21
iq,2011,22
iq,2011,23
iq,2011,24
iq,2011,25
iq,2011,26
iq,2011,27
iq,2011,28
iq,2011,29
iq,2011,30
iq,2011,31
iq,2011,32
iq,2011,33
iq,2011,34
iq,2011,35
iq,2011,36
iq,2011,37
iq,2011,38
iq,2011,39
iq,2011,40
iq,2011,41
iq,2011,42
iq,2011,43
iq,2011,44
iq,2011,45
iq,2011,46
iq,2011,47
iq,2011,48
iq,2011,49
iq,2011,50
iq,2011,51
iq,2012,52
iq,2012,1
iq,2012,2
iq,2012,3
iq,2012,4
iq,2012,5
iq,2012,6
iq,2012,7
iq,2012,8
iq,2012,9
iq,2012,10
iq,2012,11
iq,2012,12
iq,2012,13
iq,2012,14
iq,2012,15
iq,2012,16
iq,2012,17
iq,2012,18
iq,2012,19
iq,2012,20
iq,2012,21
iq,2012,22
iq,2012,23
iq,2012,24
iq,2012,25
iq,2012,26
iq,2012,27
iq,2012,28
iq,2012,29
iq,2012,30
iq,2012,31
iq,2012,32
iq,2012,33
iq,2012,34
iq,2012,35
iq,2012,36
iq,2012,37
iq,2012,38
iq,2012,39
iq,2012,40
iq,2012,41
iq,2012,42
iq,2012,43
iq,2012,44
iq,2012,45
iq,2012,46
iq,2012,47
iq,2012,48
iq,2012,49
iq,2012,50
iq,2012,51
iq,2013,1
iq,2013,2
iq,2013,3
iq,2013,4
iq,2013,5
iq,2013,6
iq,2013,7
iq,2013,8
iq,2013,9
iq,2013,10
iq,2013,11
iq,2013,12
iq,2013,13
iq,2013,14
iq,2013,15
iq,2013,16
iq,2013,17
iq,2013,18
iq,2013,19
iq,2013,20
iq,2013,21
iq,2013,22
iq,2013,23
iq,2013,24
iq,2013,25
iq,2013,26
